match_played,team_id,team_name,season,team_total_points_rank,team_total_points,team_all_outs_conceded,team_all_outs_conceded_rank,team_all_outs_inflicted,team_all_outs_inflicted_rank,team_average_raid_points,team_average_raid_points_rank,team_average_tackle_points,team_average_tackle_points_rank,team_avg_points_scored,team_avg_points_scored_rank,team_dod_raid_points,team_dod_raid_points_rank,team_raid_points,team_raid_points_rank,team_successful_raids,team_successful_raids_rank,team_successful_tackles,team_successful_tackles_rank,team_super_raid,team_super_raid_rank,team_super_tackles,team_super_tackles_rank,team_tackle_points,team_tackle_points_rank,team_total_points_conceded,team_total_points_conceded_rank
16,3,Jaipur Pink Panthers,1,1,579,15,6,29,1,21.5,3,10.63,1,32.12,1,50,1,344,2,270,2,158,1,9,5,12,4,170,1,458,8
16,5,U Mumba,1,2,550,19,4,21,3,21.69,2,9.81,3,31.5,2,40,4,347,1,270,2,145,3,12,2,12,4,157,3,499,3
16,6,Patna Pirates,1,3,504,17,5,18,5,19.75,6,8.88,5,28.62,6,42,3,316,4,253,4,124,4,13,1,18,1,142,4,487,4
16,1,Bengaluru Bulls,1,4,498,15,6,20,4,18.19,8,10.19,2,28.37,7,40,4,291,5,225,6,153,2,7,7,10,6,163,2,479,5
14,8,Telugu Titans,1,5,497,14,8,25,2,24,1,7.43,8,31.42,3,31,6,336,3,272,1,96,7,8,6,8,8,104,8,474,6
14,2,Dabang Delhi K.C.,1,6,456,23,3,18,5,20.36,4,9.57,4,29.92,4,31,6,285,6,246,5,124,4,5,8,10,6,134,5,471,7
14,4,Bengal Warriors,1,7,430,25,2,11,8,20.21,5,8.71,6,28.92,5,30,8,283,7,213,7,106,6,11,3,16,2,122,6,515,2
14,7,Puneri Paltan,1,8,405,26,1,12,7,19.21,7,7.64,7,26.85,8,48,2,269,8,204,8,93,8,11,3,14,3,107,7,536,1
16,8,Telugu Titans,2,1,586,15,6,26,1,21.5,1,10.75,2,32.25,1,66,3,344,1,265,1,158,2,16,1,16,3,172,2,493,1
16,1,Bengaluru Bulls,2,2,508,16,5,25,2,15.75,4,10.25,3,26,4,80,2,252,2,194,2,158,2,10,3,7,8,164,3,457,5
16,5,U Mumba,2,3,489,14,7,20,3,14.81,6,12.25,1,27.06,2,81,1,237,3,187,3,180,1,7,6,16,3,196,1,426,7
16,6,Patna Pirates,2,4,444,21,1,13,5,14.25,7,10.25,3,24.5,6,60,5,228,5,182,5,152,4,4,8,13,6,164,3,489,2
14,3,Jaipur Pink Panthers,2,5,442,12,8,17,4,16.57,2,10.14,5,26.71,3,47,8,232,4,183,4,124,5,5,7,18,2,142,5,399,8
14,2,Dabang Delhi K.C.,2,6,396,20,3,13,5,15.5,5,9.71,6,25.21,5,61,4,217,7,159,7,122,6,14,2,14,5,136,6,464,4
14,7,Puneri Paltan,2,7,391,21,1,12,7,15.93,3,8.14,8,24.07,7,56,7,223,6,170,6,104,8,8,5,11,7,114,8,465,3
14,4,Bengal Warriors,2,8,367,17,4,10,8,13.14,8,9.71,6,22.85,8,59,6,184,8,134,8,116,7,9,4,21,1,136,6,430,6
16,6,Patna Pirates,3,1,594,13,6,30,1,20.25,1,11.38,2,31.62,1,74,2,324,1,241,1,175,1,16,1,7,6,182,2,468,2
16,7,Puneri Paltan,3,2,510,13,6,25,3,15.69,5,11.69,1,27.37,2,87,1,251,4,203,5,174,2,9,2,13,3,187,1,433,6
16,5,U Mumba,3,3,502,12,8,27,2,15.81,4,10.56,3,26.37,4,59,5,253,3,206,3,163,3,7,5,6,8,169,3,397,8
